time,EXT_TMP,EXT_WIND_DIRECT,EXT_WIND_SPEED,INT_CO2,INT_REL_HD,INT_TMP,MAX_EXT_TMP,MIN_EXT_TMP
2021-07-02 07:30:00+00:00,21.87,270.0,1.06,360.1,60.87,14.36,22.1,21.5
2021-07-02 07:40:00+00:00,22.06,270.0,1.41,356.0,60.53,14.57,22.3,21.9
2021-07-02 07:50:00+00:00,22.2,270.0,1.36,358.4,59.94,14.63,22.3,21.9
2021-07-02 08:00:00+00:00,21.0,270.0,1.94,352.5,77.08,23.0,22.5,21.9
2021-07-02 08:10:00+00:00,22.47,270.0,0.86,355.7,59.94,14.7,22.7,22.4
2021-07-02 08:20:00+00:00,22.61,270.0,0.79,354.1,59.93,14.71,22.8,22.4
2021-07-02 08:30:00+00:00,22.69,270.0,0.81,349.9,59.95,14.88,22.8,22.6
2021-07-02 08:40:00+00:00,23.1,270.0,0.74,348.4,58.98,15.08,23.2,22.9
2021-07-02 08:50:00+00:00,23.37,270.0,0.82,344.4,58.74,15.28,23.6,23.2
2021-07-02 09:00:00+00:00,22.67,270.0,2.45,304.25,72.42,24.67,23.6,23.2
2021-07-02 09:10:00+00:00,23.11,270.0,1.32,350.2,58.66,15.26,23.4,22.9
2021-07-02 09:20:00+00:00,23.15,270.0,1.2,349.9,58.9,15.23,23.3,22.9
2021-07-02 09:30:00+00:00,23.28,270.0,1.2,348.2,58.96,15.3,23.5,23.1
2021-07-02 09:40:00+00:00,23.65,270.0,0.81,345.4,58.54,15.43,23.8,23.3
2021-07-02 09:50:00+00:00,23.67,270.0,0.57,345.9,58.81,15.43,23.8,23.6
2021-07-02 10:00:00+00:00,23.92,270.0,1.56,271.92,71.92,25.0,24.0,23.7
2021-07-02 10:10:00+00:00,24.01,270.0,0.95,337.2,58.19,15.77,24.2,23.6
2021-07-02 10:20:00+00:00,24.05,270.0,1.22,338.3,57.68,15.91,24.2,23.8
2021-07-02 10:30:00+00:00,24.17,270.0,1.2,338.8,57.53,15.94,24.4,24.0
2021-07-02 10:40:00+00:00,24.36,270.0,1.15,340.0,57.31,15.97,24.6,24.1
2021-07-02 10:50:00+00:00,24.67,270.0,0.98,337.9,56.46,16.12,24.9,24.4
2021-07-02 11:00:00+00:00,24.25,270.0,1.92,247.5,72.17,25.92,24.9,24.3
2021-07-02 11:10:00+00:00,24.84,270.0,1.33,335.7,56.3,16.34,25.0,24.6
2021-07-02 11:20:00+00:00,25.14,270.0,1.06,330.2,55.91,16.52,25.7,24.8
2021-07-02 11:30:00+00:00,26.57,270.0,1.04,315.6,53.03,17.7,27.0,25.9
2021-07-02 11:40:00+00:00,26.71,270.0,1.72,316.1,51.8,18.29,27.1,26.4
2021-07-02 11:50:00+00:00,26.86,270.0,1.16,318.0,52.39,18.15,27.1,26.5
2021-07-02 12:00:00+00:00,24.0,270.0,1.66,314.5,77.83,26.33,27.0,26.3
2021-07-02 12:10:00+00:00,26.49,270.0,1.31,321.0,53.38,17.62,27.0,26.1
2021-07-02 12:20:00+00:00,27.69,270.0,0.99,309.5,52.17,18.29,28.1,27.0
2021-07-02 12:30:00+00:00,28.19,270.0,1.06,308.8,51.19,18.85,28.5,27.9
2021-07-02 12:40:00+00:00,27.88,270.0,1.62,305.1,50.38,19.35,28.6,27.3
2021-07-02 12:50:00+00:00,27.81,270.0,1.86,305.2,50.01,19.25,28.7,26.8
2021-07-02 13:00:00+00:00,24.92,270.0,2.45,251.92,70.17,27.08,28.5,27.4
2021-07-02 13:10:00+00:00,27.67,270.0,2.42,303.6,50.4,19.16,28.1,27.3
2021-07-02 13:20:00+00:00,27.83,270.0,2.26,300.1,50.5,19.25,28.2,27.5
2021-07-02 13:30:00+00:00,28.87,270.0,1.74,297.3,49.95,19.53,29.4,27.9
2021-07-02 13:40:00+00:00,27.85,270.0,2.09,300.2,50.49,19.35,28.3,27.4
2021-07-02 13:50:00+00:00,28.22,270.0,1.49,301.6,51.29,19.02,28.7,27.7
2021-07-02 14:00:00+00:00,27.17,270.0,1.48,276.5,62.75,30.0,28.3,27.2
2021-07-02 14:10:00+00:00,27.31,270.0,2.37,304.7,52.79,18.6,27.5,27.0
2021-07-02 14:20:00+00:00,27.91,270.0,1.58,305.3,53.03,18.56,28.4,27.5
2021-07-02 14:30:00+00:00,28.17,270.0,1.68,305.3,52.51,18.73,28.6,27.7
2021-07-02 14:40:00+00:00,28.43,270.0,1.59,307.2,51.62,18.88,28.7,28.2
2021-07-02 14:50:00+00:00,28.84,270.0,1.31,299.0,51.14,19.19,29.4,28.5
2021-07-02 15:00:00+00:00,27.33,270.0,3.18,254.08,60.5,31.25,29.6,28.0
2021-07-02 15:10:00+00:00,29.31,270.0,1.17,292.6,50.23,19.85,29.7,28.6
2021-07-02 15:20:00+00:00,29.03,270.0,1.73,297.9,49.13,19.98,29.5,28.6
2021-07-02 15:30:00+00:00,29.04,270.0,1.95,303.1,48.37,20.13,29.7,28.6
2021-07-02 15:40:00+00:00,29.17,270.0,1.62,304.3,48.25,20.13,29.7,28.2
2021-07-02 15:50:00+00:00,28.46,270.0,2.66,304.4,47.6,20.15,29.2,28.0
2021-07-02 16:00:00+00:00,27.08,270.0,3.59,266.0,61.67,30.75,28.9,28.0
2021-07-02 16:10:00+00:00,29.43,270.0,1.43,304.8,48.07,20.07,30.2,28.4
2021-07-02 16:20:00+00:00,29.01,270.0,1.71,304.5,47.35,20.14,29.3,28.7
2021-07-02 16:30:00+00:00,28.89,270.0,2.2,306.5,47.3,19.95,29.6,28.4
2021-07-02 16:40:00+00:00,28.86,270.0,1.75,309.1,47.14,19.79,29.1,28.6
2021-07-02 16:50:00+00:00,28.54,270.0,2.2,309.5,47.0,19.71,29.0,28.1
2021-07-02 17:00:00+00:00,26.75,270.0,2.93,252.83,58.92,30.92,28.6,27.9
2021-07-02 17:10:00+00:00,28.53,270.0,1.73,310.7,47.55,19.48,28.9,28.1
2021-07-02 17:20:00+00:00,28.31,270.0,2.35,313.3,47.26,19.39,28.5,28.0
2021-07-02 17:30:00+00:00,28.3,270.0,1.91,314.2,47.29,19.22,28.8,27.9
2021-07-02 17:40:00+00:00,28.32,270.0,1.43,318.4,47.4,18.94,28.8,28.1
2021-07-02 17:50:00+00:00,27.94,270.0,1.51,321.1,47.19,18.77,28.5,27.5
2021-07-02 18:00:00+00:00,25.92,270.0,0.85,456.25,67.0,30.0,27.8,27.2
2021-07-02 18:10:00+00:00,27.59,270.0,1.01,325.1,48.39,18.31,28.0,27.2
2021-07-02 18:20:00+00:00,27.35,270.0,0.95,328.3,48.98,18.14,27.5,27.2
2021-07-02 18:30:00+00:00,27.4,270.0,0.98,328.2,49.08,18.15,27.6,27.2
2021-07-02 18:40:00+00:00,27.14,270.0,0.79,329.0,49.91,17.84,27.4,26.9
2021-07-02 18:50:00+00:00,26.72,270.0,0.79,332.1,49.11,17.56,27.0,26.4
